"STATION","NAME","DATE","PRCP","TMAX","TMIN","TOBS"
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-12-17","0.00","24","10",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-12-18","0.00","12","5",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-12-19","0.30","19","10",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-12-20","0.12","26","7",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-12-21","0.00","36","6",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-12-22","0.00","41","17",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-12-23","0.00","43","21",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-12-24","0.04","38","14",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-12-25","0.00","29","17",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-12-26","0.00","36","14",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-12-27","0.00","40","28",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-12-28","0.00","38","25",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-12-29","0.06","28","12",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-12-30","0.02","40","19",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-12-31","0.00","42","25",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-01-01","0.00","46","30",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-01-02","0.00","30","13",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-01-03","0.00","17","6",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-01-04","0.00","20","9",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-01-05","0.00","22","7",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-01-06","0.00","35","12",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-01-07","0.00","36","28",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-01-08","0.30","35","32",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-01-09","0.21","40","34",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-01-10","0.00","44","25",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-01-11","0.00","40","25",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-01-12","0.00","36","24",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-01-13","0.00","45","22",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-01-14","0.00","34","16",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-01-15","0.00","30","14",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-01-16","0.05","19","12",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-01-17","0.00","29","11",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-01-18","0.00","22","8",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-01-19","0.09","22","6",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-01-20","0.00","22","12",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-01-21","0.23","36","21",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-01-22","0.00","30","20",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-01-23","0.31","30","26",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-01-24","0.61","31","29",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-01-25","0.00","30","12",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-01-26","0.00","20","11",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-01-27","0.00","40","20",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-01-28","0.00","42","22",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-01-29","0.00","30","16",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-01-30","0.00","54","23",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-01-31","0.00","36","7",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-02-01","0.00","23","3",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-02-02",,"37","23",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-02-03",,"44","28",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-02-04","1.29","35","23",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-02-05","0.76","29","23",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-02-06","0.29","37","26",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-02-07",,"38","29",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-02-08",,"34","30",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-02-09",,"37","28",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-02-10","0.22","47","31",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-02-11",,"45","29",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-02-12",,"45","28",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-02-13","0.00","38","31",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-02-14",,"48","25",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-02-15","0.11","36","13",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-02-16",,"20","8",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-02-17",,"39","15",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-02-18",,"49","31",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-02-19","0.00","38","23",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-02-20",,"37","18",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-02-21","0.00","35","26",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-02-22",,"37","33",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-02-23","0.00","35","33",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-02-24",,"40","30",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-02-25","0.00","31","22",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-02-26",,"38","14",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-02-27",,"24","9",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-02-28",,"35","12",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-02-29","0.07","33","24",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-03-01","0.00","40","16",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-03-02","0.00","40","22",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-03-03","0.00","46","24",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-03-04","0.19","45","28",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-03-05","1.38","45","28",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-03-06","0.30","28","14",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-03-07","0.00","28","13",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-03-08","0.00","34","11",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-03-09","0.00","45","22",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-03-10","0.00","60","28",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-03-11","0.00","61","38",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-03-12","0.20","60","45",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-03-13","0.70","58","28",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-03-14","0.00","38","23",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-03-15","0.00","48","23",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-03-16","0.25","55","34",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-03-17","0.00","56","36",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-03-18","0.00","48","33",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-03-19","0.30","38","33",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-03-20","0.00","44","33",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-03-21","0.00","53","31",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-03-22","0.00","60","29",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-03-23","0.00","65","32",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-03-24","0.00","65","36",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-03-25","0.00","69","36",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-03-26","0.05","64","45",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1920-03-27","0.00","61","48",
